Domain_Name,URL_Depth,Have_At,URL_Length,Redirection,https_Domain,TinyURL,Prefix/Suffix,Result
graphicriver.net,1,-1,1,-1,-1,-1,-1,-1
ecnavi.jp,1,-1,1,1,-1,-1,-1,-1
hubpages.com,1,-1,1,-1,-1,-1,-1,-1
extratorrent.cc,3,-1,1,-1,-1,-1,-1,-1
icicibank.com,3,-1,1,-1,-1,-1,-1,-1
nypost.com,4,-1,1,-1,-1,1,-1,-1
kienthuc.net.vn,2,-1,1,-1,-1,-1,-1,-1
thenextweb.com,6,-1,1,-1,-1,-1,-1,-1
tobogo.net,2,-1,1,-1,-1,-1,-1,-1
akhbarelyom.com,5,-1,1,-1,-1,-1,-1,-1
tunein.com,5,-1,1,-1,-1,-1,-1,-1
tune.pk,3,-1,1,-1,-1,-1,-1,-1
sfglobe.com,4,-1,1,-1,-1,-1,-1,-1
mic.com,3,-1,1,-1,-1,-1,-1,-1
thenextweb.com,6,-1,1,-1,-1,-1,-1,-1
couchtuner.eu.com,3,-1,1,-1,-1,-1,-1,-1
olx.in,3,-1,1,-1,-1,-1,-1,-1
venturebeat.com,4,-1,1,-1,-1,1,-1,-1
allegro.pl,2,-1,1,-1,-1,-1,-1,-1
allegro.pl,2,-1,1,-1,-1,-1,-1,-1
tinnhanh360.net,1,-1,1,-1,-1,-1,-1,-1
metro.co.uk,4,-1,1,-1,-1,-1,-1,-1
atwiki.jp,2,-1,1,-1,-1,-1,-1,-1
emgn.com,2,-1,1,-1,-1,-1,-1,-1
nguyentandung.org,1,-1,1,-1,-1,-1,-1,-1
motthegioi.vn,2,-1,1,-1,-1,-1,-1,-1
spankbang.com,3,-1,1,-1,-1,-1,-1,-1
torcache.net,2,-1,1,-1,-1,-1,-1,-1
mic.com,3,-1,1,-1,-1,-1,-1,-1
thenextweb.com,7,-1,1,-1,-1,-1,-1,-1
emgn.com,2,-1,1,-1,-1,-1,-1,-1
depositphotos.com,1,-1,1,-1,-1,-1,-1,-1
serverfault.com,3,-1,1,-1,-1,1,-1,-1
kakaku.com,6,-1,1,-1,-1,-1,-1,-1
indianexpress.com,4,-1,1,-1,-1,-1,-1,-1
nypost.com,4,-1,1,-1,-1,1,-1,-1
distractify.com,10,-1,1,-1,-1,-1,-1,-1
sourceforge.net,3,-1,1,-1,-1,-1,-1,-1
babal.net,4,-1,1,-1,-1,-1,-1,-1
serverfault.com,3,-1,1,-1,-1,1,-1,-1
cookpad.com,1,-1,1,-1,-1,-1,-1,-1
plarium.com,5,-1,1,-1,-1,-1,-1,-1
pikabu.ru,3,-1,1,-1,-1,-1,-1,-1
grantland.com,2,-1,1,-1,-1,-1,-1,-1
allegro.pl,3,-1,1,-1,-1,-1,-1,-1
nguyentandung.org,1,-1,1,-1,-1,-1,-1,-1
allegro.pl,2,-1,1,-1,-1,-1,-1,-1
europa.eu,6,-1,1,-1,-1,-1,-1,-1
extratorrent.cc,3,-1,1,-1,-1,-1,-1,-1
persianblog.ir,4,-1,1,-1,-1,-1,-1,-1
distractify.com,10,-1,1,-1,-1,-1,-1,-1
kenh14.vn,2,-1,1,-1,-1,-1,-1,-1
twitter.com,1,-1,1,-1,-1,-1,-1,-1
nesn.com,3,-1,1,-1,-1,-1,-1,-1
fishki.net,1,-1,1,-1,-1,-1,-1,-1
syosetu.com,3,-1,1,-1,-1,-1,-1,-1
akhbarelyom.com,5,-1,1,-1,-1,-1,-1,-1
allegro.pl,1,-1,1,-1,-1,-1,-1,-1
getpocket.com,1,-1,1,1,-1,1,-1,-1
mylust.com,3,-1,1,-1,-1,1,-1,-1
censor.net.ua,3,-1,1,-1,-1,-1,-1,-1
pornsharing.com,1,-1,1,-1,-1,-1,-1,-1
genius.com,3,-1,1,-1,-1,-1,-1,-1
sourceforge.net,3,-1,1,-1,-1,-1,-1,-1
codecanyon.net,4,-1,1,-1,-1,-1,-1,-1
qz.com,2,-1,1,-1,-1,-1,-1,-1
kenh14.vn,2,-1,1,-1,-1,-1,-1,-1
uproxx.com,4,-1,1,-1,-1,1,-1,-1
babal.net,4,-1,1,-1,-1,-1,-1,-1
